127.0.0.1 - - [17/Jul/2022:21:34:44 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [17/Jul/2022:21:41:56 +0900] "GET /testproject/egovSampleList.do HTTP/1.1" 200 11591
0:0:0:0:0:0:0:1 - - [17/Jul/2022:21:41:56 +0900] "GET /testproject/css/egovframework/sample.css;jsessionid=BDDCC9A41DF0708FE8AB4288B72E3B0A HTTP/1.1" 200 10111
0:0:0:0:0:0:0:1 - - [17/Jul/2022:21:41:56 +0900] "GET /testproject/images/egovframework/example/title_dot.gif;jsessionid=BDDCC9A41DF0708FE8AB4288B72E3B0A HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [17/Jul/2022:21:41:56 +0900] "GET /testproject/images/egovframework/example/btn_bg_r.gif;jsessionid=BDDCC9A41DF0708FE8AB4288B72E3B0A HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [17/Jul/2022:21:41:57 +0900] "GET /testproject/images/egovframework/example/btn_bg_l.gif HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [17/Jul/2022:21:41:57 +0900] "GET /testproject/images/egovframework/example/th_bg.gif HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [17/Jul/2022:21:41:57 +0900] "GET /testproject/images/egovframework/cmmn/btn_page_next10.gif HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [17/Jul/2022:21:41:57 +0900] "GET /testproject/images/egovframework/cmmn/btn_page_next1.gif HTTP/1.1" 200 100
0:0:0:0:0:0:0:1 - - [17/Jul/2022:21:41:57 +0900] "GET /testproject/images/egovframework/cmmn/btn_page_pre1.gif HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [17/Jul/2022:21:41:57 +0900] "GET /testproject/images/egovframework/cmmn/btn_page_pre10.gif HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [17/Jul/2022:21:41:57 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Jul/2022:21:47:36 +0900] "GET /testproject/egovSampleList.do HTTP/1.1" 200 11199
0:0:0:0:0:0:0:1 - - [17/Jul/2022:21:47:37 +0900] "GET /testproject/css/egovframework/sample.css HTTP/1.1" 200 10111
0:0:0:0:0:0:0:1 - - [17/Jul/2022:21:47:37 +0900] "GET /testproject/images/egovframework/example/title_dot.gif HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [17/Jul/2022:21:47:37 +0900] "GET /testproject/images/egovframework/example/btn_bg_r.gif HTTP/1.1" 200 286
